"","MLS","sold_price","zipcode","longitude","latitude","lot_acres","taxes","year_built","bedrooms","bathrooms","sqrt_ft","garage","kitchen_features","fireplaces","floor_covering","HOA"
"1779","21822492","695000","85742","-111.072617","32.409793","1.27","6694.36","2007","4","3","3348","4","Compactor, Dishwasher, Double Sink, Garbage Disposal, Gas Range, Island, Pantry: Walk-In, Refrigerator, Countertops: granite","1","Carpet, Ceramic Tile","78.09"
"1780","21829764","680000","85745","-111.06767","32.238421","1.61","7779.29","2005","5","4","3264","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave: -, Oven: -","2","Carpet, Natural Stone, Wood","96"
"1781","21919893","658000","85641","-110.798573","31.948891","1.33","6999.06","2005","5","5","4251","3","Dishwasher, Freezer, Garbage Disposal, Gas Range, Indoor Grill, Island, Pantry: Closet, Refrigerator, Reverse Osmosis, Appliance Color: Stainless, Countertops: granite, Microwave: ., Oven: .","2","Ceramic Tile","59"
"1782","21413617","712000","85718","-110.93007","32.339612","0.94","6052.52","1997","4","5","3857","3","Dishwasher, Garbage Disposal, Microwave, Oven","3","Carpet, Ceramic Tile","111"
"1783","21509057","670000","85737","-110.970612","32.385391","1.11","6126","1985","4","3","3460","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Concrete","0"
"1784","21512598","699900","85704","-110.986483","32.379477","3.32","7389.35","1994","4","4","3823","5","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Ceramic Tile, Wood","0"
"1785","21524741","665000","85718","-110.920469","32.308266","1.01","4879.12","1998","4","3","3012","3","Dishwasher, Garbage Disposal, Refrigerator, Oven","1","Mexican Tile","0"
"1786","21528741","689900","85658","-111.053983","32.43374","0.74","1510.01","2013","4","5","3541","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","0","Ceramic Tile, Wood","60"
"1787","21523970","625000","85755","-111.008689","32.432018","4.78","6140.99","1991","5","4","4034","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile, Concrete","0"
"1788","21601727","680000","85718","-110.925287","32.29517","1.7","7622.01","1999","5","4","4280","3","Dishwasher, Garbage Disposal, Oven","2","Carpet, Other","146"
"1789","21532482","660000","85718","-110.889777","32.319391","0.85","4258","1981","4","3","3160","2","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","2","Carpet, Natural Stone","20"
"1790","21602669","620000","85646","-111.06671","31.601738","10.31","5365.14","2004","3","4","2849","3","Compactor, Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Ceramic Tile, Wood","0"
"1791","21618125","680679","85737","-110.987694","32.403837","0.86","7905.2","2001","4","3","3350","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","51"
"1792","21707201","640000","85737","-110.988155","32.409264","1.31","7305.34","2002","4","3","3400","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","1","Carpet, Ceramic Tile","50"
"1793","21629212","699900","85658","-111.053995","32.433748","0.74","7768.23","2013","4","4","3541","3","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","0","Ceramic Tile, Wood","60"
"1794","21207115","675000","85718","-110.935368","32.347617","1.14","7638","1989","4","5","4624","4","Dishwasher, Garbage Disposal, Refrigerator, Microwave, Oven","3","Carpet, Natural Stone","111"
